ds,forecast,lower,upper
2058-07-01,0.0,-169420.5628885577,169314.08226420314
2058-08-01,0.0,-170320.39787629692,168673.5470292629
2058-09-01,0.0,-170553.24973755525,168679.6107412428
2058-10-01,0.0,-170704.89224164677,168750.72956594516
2058-11-01,0.0,-170825.68251979735,168846.07581283565
2058-12-01,0.0,-170836.32252368447,169050.61233415495
2059-01-01,0.0,-170720.4294177294,169315.82420067335
2059-02-01,0.0,-170558.9531205191,169662.3600346717
2059-03-01,0.0,-170961.95433489137,169461.9714976515
2059-04-01,0.0,-171093.1592114687,169542.09140004875
2059-05-01,0.0,-170976.4931679277,169874.8773984216
2059-06-01,759.1886871107617,-169776.17418912152,171294.55156334303
